Fetching morphology corpus from https://raw.githubusercontent.com/alstat/QuranTree.jl/master/data/quranic-corpus-morphology-0.4.txt ...
  128011 rows (expected ~128219), 77429 words, 114/114 chapters.
Surah 1/114 ... ok (7 ayahs)
Surah 2/114 ... ok (286 ayahs)
Surah 3/114 ... ok (200 ayahs)
Surah 4/114 ... ok (176 ayahs)
Surah 5/114 ... ok (120 ayahs)
Surah 6/114 ... ok (165 ayahs)
Surah 7/114 ... ok (206 ayahs)
Surah 8/114 ... ok (75 ayahs)
Surah 9/114 ... ok (129 ayahs)
Surah 10/114 ... ok (109 ayahs)
Surah 11/114 ... ok (123 ayahs)
Surah 12/114 ... ok (111 ayahs)
Surah 13/114 ... ok (43 ayahs)
Surah 14/114 ... ok (52 ayahs)
Surah 15/114 ... ok (99 ayahs)
Surah 16/114 ... ok (128 ayahs)
Surah 17/114 ... ok (111 ayahs)
Surah 18/114 ... ok (110 ayahs)
Surah 19/114 ... ok (98 ayahs)
Surah 20/114 ... ok (135 ayahs)
Surah 21/114 ... ok (112 ayahs)
Surah 22/114 ... ok (78 ayahs)
Surah 23/114 ... ok (118 ayahs)
Surah 24/114 ... ok (64 ayahs)
Surah 25/114 ... ok (77 ayahs)
Surah 26/114 ... ok (227 ayahs)
Surah 27/114 ... ok (93 ayahs)
Surah 28/114 ... ok (88 ayahs)
Surah 29/114 ... ok (69 ayahs)
Surah 30/114 ... ok (60 ayahs)
Surah 31/114 ... ok (34 ayahs)
Surah 32/114 ... ok (30 ayahs)
Surah 33/114 ... ok (73 ayahs)
Surah 34/114 ... ok (54 ayahs)
Surah 35/114 ... ok (45 ayahs)
Surah 36/114 ... ok (83 ayahs)
Surah 37/114 ... ok (182 ayahs)
Surah 38/114 ... ok (88 ayahs)
Surah 39/114 ... ok (75 ayahs)
Surah 40/114 ... ok (85 ayahs)
Surah 41/114 ... ok (54 ayahs)
Surah 42/114 ... ok (53 ayahs)
Surah 43/114 ... ok (89 ayahs)
Surah 44/114 ... ok (59 ayahs)
Surah 45/114 ... ok (37 ayahs)
Surah 46/114 ... ok (35 ayahs)
Surah 47/114 ... ok (38 ayahs)
Surah 48/114 ... ok (29 ayahs)
Surah 49/114 ... ok (18 ayahs)
Surah 50/114 ... ok (45 ayahs)
Surah 51/114 ... ok (60 ayahs)
Surah 52/114 ... ok (49 ayahs)
Surah 53/114 ... ok (62 ayahs)
Surah 54/114 ... ok (55 ayahs)
Surah 55/114 ... ok (78 ayahs)
Surah 56/114 ... ok (96 ayahs)
Surah 57/114 ... ok (29 ayahs)
Surah 58/114 ... ok (22 ayahs)
Surah 59/114 ... ok (24 ayahs)
Surah 60/114 ... ok (13 ayahs)
Surah 61/114 ... ok (14 ayahs)
Surah 62/114 ... ok (11 ayahs)
Surah 63/114 ... ok (11 ayahs)
Surah 64/114 ... ok (18 ayahs)
Surah 65/114 ... ok (12 ayahs)
Surah 66/114 ... ok (12 ayahs)
Surah 67/114 ... ok (30 ayahs)
Surah 68/114 ... ok (52 ayahs)
Surah 69/114 ... ok (52 ayahs)
Surah 70/114 ... ok (44 ayahs)
Surah 71/114 ... ok (28 ayahs)
Surah 72/114 ... ok (28 ayahs)
Surah 73/114 ... ok (20 ayahs)
Surah 74/114 ... ok (56 ayahs)
Surah 75/114 ... ok (40 ayahs)
Surah 76/114 ... ok (31 ayahs)
Surah 77/114 ... ok (50 ayahs)
Surah 78/114 ... ok (40 ayahs)
Surah 79/114 ... ok (46 ayahs)
Surah 80/114 ... ok (42 ayahs)
Surah 81/114 ... ok (29 ayahs)
Surah 82/114 ... ok (19 ayahs)
Surah 83/114 ... ok (36 ayahs)
Surah 84/114 ... ok (25 ayahs)
Surah 85/114 ... ok (22 ayahs)
Surah 86/114 ... ok (17 ayahs)
Surah 87/114 ... ok (19 ayahs)
Surah 88/114 ... ok (26 ayahs)
Surah 89/114 ... ok (30 ayahs)
Surah 90/114 ... ok (20 ayahs)
Surah 91/114 ... ok (15 ayahs)
Surah 92/114 ... ok (21 ayahs)
Surah 93/114 ... ok (11 ayahs)
Surah 94/114 ... ok (8 ayahs)
Surah 95/114 ... ok (8 ayahs)
Surah 96/114 ... ok (19 ayahs)
Surah 97/114 ... ok (5 ayahs)
Surah 98/114 ... ok (8 ayahs)
Surah 99/114 ... ok (8 ayahs)
Surah 100/114 ... ok (11 ayahs)
Surah 101/114 ... ok (11 ayahs)
Surah 102/114 ... ok (8 ayahs)
Surah 103/114 ... ok (3 ayahs)
Surah 104/114 ... ok (9 ayahs)
Surah 105/114 ... ok (5 ayahs)
Surah 106/114 ... ok (4 ayahs)
Surah 107/114 ... ok (7 ayahs)
Surah 108/114 ... ok (3 ayahs)
Surah 109/114 ... ok (6 ayahs)
Surah 110/114 ... ok (3 ayahs)
Surah 111/114 ... ok (5 ayahs)
Surah 112/114 ... ok (4 ayahs)
Surah 113/114 ... ok (5 ayahs)
Surah 114/114 ... ok (6 ayahs)

Done. 114 surahs, 6236 ayahs, 77429 words (49971 with root data).
